Index,TIME,P(connect2),P(connect6),C_H2O(connect2),C_H2O(connect6),C_H2O(connect5),C_H2O(vchpr),C_Tag(connect2),C_Tag(connect6),C_Tag(connect5),C_Tag(vchpr),C_Sample(connect2),C_Sample(connect6),C_Sample(connect5),C_Sample(vchpr)
0,0.0,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
1,5e-07,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
2,1.5e-06,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
3,3.5e-06,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
4,7.5e-06,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
5,1.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
6,2.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
7,3.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
8,4.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
9,5.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
10,6.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
11,7.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
12,8.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
13,9.55e-05,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
14,0.0001,88662.0927,83275.201,0.0656570932,0.0639937942,0.0,0.0639937942,0.0343429068,0.0334728937,0.0,0.0334728937,0.0,0.00253331209,0.1,0.00253331209
